actor_ids,actor_names,actor_points
nm0001494,Ralph Macchio,4451
nm0402271,Charlie Hunnam,4445
nm1659221,Sebastian Stan,4400
nm0913475,John David Washington,4338
nm0148418,Michael Cera,4310
nm0001085,Kieran Culkin,4310
nm0000018,Kirk Douglas,4282
nm0000334,Chow Yun-Fat,4256
nm0002071,Will Ferrell,4194
nm0000608,Burt Reynolds,4188
nm0559890,Ulrich Matthes,4108
nm0633947,Ulrich Noethen,4108
nm0761420,Otto Sander,4093
nm0632457,Merab Ninidze,4087
nm0001722,Rufus Sewell,4045
nm0001868,Michael York,4043
nm0922035,Dominic West,4006
nm0001822,Robert Wagner,3994
nm0000308,Ernest Borgnine,3982
nm0001492,Kyle MacLachlan,3980
nm0515296,Ron Livingston,3965
nm5218990,Trevante Rhodes,3913
nm0001371,Tom Hulce,3902
nm0000202,Ryan Phillippe,3900
nm1449783,Stipe Erceg,3899
nm0147147,Henry Cavill,3898
nm0000064,Edward G. Robinson,3885
nm0727165,Sam Riley,3876
nm0000977,Beau Bridges,3839
nm0001023,John Cassavetes,3788
nm0000348,Tony Curtis,3774
nm0706368,George Raft,3774
nm0000654,Terence Stamp,3678
nm0001069,Bud Cort,3636
nm0000563,Chris O'Donnell,3516
nm0002907,Alexander Skarsgård,3480
nm0634159,Philippe Noiret,3440
nm1183149,Edgar Ramírez,3439
nm0180580,Jose Coronado,3393
nm0002070,Richard Farnsworth,3348
nm0000037,Gene Kelly,3341
nm0640307,Donald O'Connor,3341
nm0646037,Daniel Olbrychski,3323
nm0225944,August Diehl,3323
nm0001763,Nick Stahl,3316
nm0001695,George Sanders,3309
nm0451148,Aamir Khan,3291
nm0335048,Farley Granger,3268
nm0001452,Charles Laughton,3144
nm0641939,Ryan O'Neal,3126
nm1002641,Dominic Cooper,3058
nm0001364,Bob Hoskins,3046
nm0001421,George Kennedy,3038
nm0103785,Zach Braff,3001
nm0768614,Leonardo Sbaraglia,2991
nm0002085,Gert Fröbe,2988
nm0002145,Trevor Howard,2965
nm0297054,Gustav Fröhlich,2963
nm2244852,Brian Gleeson,2913
nm0001682,Mickey Rooney,2891
nm0000009,Richard Burton,2827
nm0402271,Charlie Hunnam,2825
nm4043618,Tom Holland,2804
nm0002094,Vittorio Gassman,2800
nm1504980,Sönke Möhring,2789
nm0000196,Mike Myers,2788
nm1302735,Max Thieriot,2778
nm0001696,Julian Sands,2745
nm0619938,Tatsuya Nakadai,2704
nm0579663,Adolphe Menjou,2666
nm0000052,Marcello Mastroianni,2656
nm0752813,Robert Ryan,2653
nm0001332,Robert Hays,2641
nm0000558,Leslie Nielsen,2641
nm0473228,Hardy Krüger,2582
nm0004462,Jean-Louis Trintignant,2577
nm0000111,Matthew Broderick,2571
nm0194572,Javier Cámara,2514
nm0001537,Ray Milland,2509
nm0079273,Paul Bettany,2492
nm0803890,Gustaf Skarsgård,2463
nm1832584,Mario Casas,2460
nm0001131,Patrick Dempsey,2441
nm1065929,Elyas M'Barek,2428
nm0001472,Jet Li,2403
nm0750971,Simon Russell Beale,2386
nm0000577,George Peppard,2382
nm0001627,Sidney Poitier,2366
nm0635330,Eduardo Noriega,2330
nm0147308,Fernando Cayo,2319
nm0374865,Simon Helberg,2310
nm0000989,Yul Brynner,2283
nm0687146,Jesse Plemons,2265
nm0144045,Jean-Pierre Cassel,2254
nm0555093,Fele Martínez,2250
nm1978402,Ha Jung-woo,2245
nm0350350,Michael Gwisdek,2214
nm0675409,Mikael Persbrandt,2207
nm0768334,John Saxon,2197
nm0000387,Robert Englund,2197
nm0000527,Walter Matthau,2172
nm0001297,Joel Grey,2155
nm0005403,Jason Schwartzman,2143
nm0319843,Daniel Giménez Cacho,2118
nm0002075,Peter Finch,2109
nm0347797,Sean Gullette,2091
nm0000188,Steve Martin,2089
nm0176981,Dane Cook,2068
nm0569000,Darren McGavin,2067
nm0000004,John Belushi,2054
nm0001059,Robbie Coltrane,2050
nm0007183,Ian Richardson,2050
nm0002076,Jason Flemyng,2050
nm5473782,Taron Egerton,2038
nm0050959,Pedro Pascal,2032
nm0000075,Spencer Tracy,2022
nm2588665,Tahar Rahim,2022
nm0001659,Christopher Reeve,2012
nm0191950,Robert Cummings,1992
nm5189784,Alex Sharp,1976
nm0056187,Sacha Baron Cohen,1976
nm0625789,Tim Blake Nelson,1944
nm1035643,Frederick Lau,1932
nm0001590,Chazz Palminteri,1911
nm0000969,Lillo Brancato,1911
nm1710309,Emory Cohen,1905
nm0001511,Lee Marvin,1886
nm0001115,Ossie Davis,1878
nm1235292,Kim Sang-kyung,1861
nm1323287,Roe-ha Kim,1861
nm0947338,Anton Yelchin,1852
nm1375877,Juan Minujín,1841
nm1812656,Luke Evans,1823
nm2129938,Thomas Turgoose,1785
nm0001816,Robert Vaughn,1764
nm0771713,Tom Schilling,1757
nm0490489,Andy Lau,1740
nm0000693,Peter Weller,1734
nm0000015,James Dean,1723
nm0360598,Glen Hansard,1723
nm0002006,Thomas Haden Church,1722
nm0000961,Timothy Bottoms,1709
nm1089991,Tom Hiddleston,1695
nm0000347,Tim Curry,1683
nm0803889,Bill Skarsgård,1674
nm0001471,Jerry Lewis,1668
nm0244151,Romain Duris,1657
nm0001724,Tony Shalhoub,1650
nm0908153,Robert Walker,1637
nm0432007,Curd Jürgens,1632
nm0001811,Peter Ustinov,1616
nm0000069,Frank Sinatra,1612
nm0001067,Jackie Coogan,1600
nm0684929,Roddy Piper,1580
nm0001374,Jeffrey Hunter,1576
nm0724732,Ralph Richardson,1573
nm0404158,Walter Huston,1555
nm0000044,Burt Lancaster,1551
nm0001050,Montgomery Clift,1551
nm0001699,Telly Savalas,1541
nm0252961,Idris Elba,1537
nm0000061,Tyrone Power,1528
nm0543547,Predrag 'Miki' Manojlovic,1526
nm0001703,Maximilian Schell,1524
nm0000472,Boris Karloff,1496
nm0000352,Vincent D'Onofrio,1493
nm1256532,Jon Bernthal,1493
nm0936353,Greg Wise,1490
nm0000036,Buster Keaton,1489
nm0721073,Fernando Rey,1484
nm1569276,Chadwick Boseman,1469
