actress_ids,actress_names,actress_points
nm0235342,Marie-Laure Dougnac,1081
nm0889522,Nia Vardalos,1075
nm0478165,Steffi Kühnert,1071
nm2178959,Lily Cole,1053
nm0002062,Kathryn Erbe,1053
nm0001152,Illeana Douglas,1053
nm0320760,Annie Girardot,1030
nm0000819,Barbara Bach,1029
nm0001040,Joan Chen,1027
nm0253708,Kimberly Elise,1026
nm0810619,Jurnee Smollett,1026
nm0603446,Yolande Moreau,1018
nm0516800,Sondra Locke,1016
nm0000176,Nastassja Kinski,1014
nm0591877,Miou-Miou,990
nm10289762,Shuzhen Zhao,990
nm5377144,Awkwafina,990
nm0001450,Angela Lansbury,984
nm1411125,Selena Gomez,979
nm2303079,Megan Ferguson,979
nm0396924,Carice van Houten,977
nm0781029,Jean Seberg,975
nm0000922,Sandahl Bergman,974
nm0335519,Lee Grant,965
nm0001670,Natasha Richardson,961
nm3827455,Lili Simmons,959
nm0797531,Simone Signoret,955
nm0636942,Bojana Novakovic,953
nm0001179,Anita Ekberg,951
nm2747232,Sakura Andô,945
nm0452817,Kirin Kiki,945
nm0000271,Anne Archer,942
nm3467663,Aura Garrido,933
nm1231899,Priyanka Chopra Jonas,908
nm0396125,Nina Hoss,900
nm0427066,Mirjana Jokovic,889
nm0438905,Mirjana Karanovic,889
nm0001419,Sally Kellerman,888
nm2130040,Alba Rohrwacher,884
nm0810738,Kasia Smutniak,884
nm0266029,Maria Falconetti,881
nm0510857,Brigitte Lin,877
nm0164883,Mae Clarke,875
nm0231652,Solveig Dommartin,869
nm0000962,Carole Bouquet,862
nm0878240,Rita Tushingham,860
nm0000224,Alicia Silverstone,858
nm0000443,Goldie Hawn,850
nm0942039,Fay Wray,841
nm0461498,Beyoncé,840
nm1617685,Jennifer Hudson,840
nm0001095,Béatrice Dalle,838
nm0196820,Lil Dagover,837
nm0000117,Neve Campbell,832
nm0485509,Priscilla Lane,828
nm0001141,Angie Dickinson,818
nm0559652,Nanako Matsushima,814
nm0620397,Miki Nakatani,814
nm0847624,Yûko Takeuchi,814
nm0001485,Myrna Loy,808
nm0310980,Janet Gaynor,808
nm0000097,Pamela Anderson,799
nm0000227,Mira Sorvino,792
nm0117580,Leticia Brédice,785
nm0289098,Kerry Fox,776
nm0001265,Susan George,774
nm2934314,Lily Collins,760
nm0363888,Jessica Harper,756
nm0000910,Joan Bennett,756
nm0000013,Doris Day,753
nm0910947,Faye Wong,748
nm0822535,Kim Stanley,743
nm1813221,Gugu Mbatha-Raw,739
nm0005499,Lily Tomlin,738
nm0517506,Annie Ross,738
nm0001742,Lori Singer,738
nm0591485,Liza Minnelli,732
nm1320089,Yeong-hie Seo,729
nm0001076,Joan Crawford,721
nm0001954,Claire Bloom,721
nm0234237,Anne Dorval,714
nm0167501,Suzanne Clément,714
nm0089408,Lisa Blount,709
nm0002060,Lisa Eilbacher,709
nm1289528,Norah Jones,705
nm2295540,Natalie Morales,702
nm0468957,Linda Kozlowski,700
nm1165901,Seung-Yun Lee,695
